team,Date,Total Distance,Total Duration,timestamp,Seconds Moving,5km Time,Leg Number for Team,5km Elevation,Color
International Super Spreaders,June 2nd 2020,5.03,1418,6/2/2020 12:52,1418,1409.542744,16,24.85,#FFD700
RIOT Runners,June 2nd 2020,5.21,2074,6/2/2020 13:17,2074,1990.403071,7,8.35,#FFA500
Twelve Kitties,June 2nd 2020,5.16,1932,6/2/2020 13:22,1932,1872.093023,35,8.72,#CCCCFF
RIOT Runners,June 2nd 2020,5.01,1925,6/2/2020 13:54,1925,1921.157685,8,7.88,#FFA500
Twelve Kitties,June 2nd 2020,5.27,1750,6/2/2020 14:04,1750,1660.341556,36,58.82,#CCCCFF
RIOT Runners,June 2nd 2020,5.02,2319,6/2/2020 15:14,2319,2309.760956,9,48.80,#FFA500
Spunky Monkeys,June 2nd 2020,5.23,1434,6/2/2020 15:45,1434,1370.936902,16,8.32,#00A86B
Canberra Kitties,June 2nd 2020,5.32,1763,6/2/2020 15:59,1763,1656.954887,5,133.93,Red
International Super Spreaders,June 2nd 2020,5.03,1462,6/2/2020 16:08,1462,1453.280318,17,23.86,#FFD700
Asante Sana Squash Banana,June 2nd 2020,5.02,1563,6/2/2020 16:18,1563,1556.772908,6,7.97,#E52B50
WhorunstheworldGIRLS,June 2nd 2020,5.04,2760,6/2/2020 16:18,2760,2738.095238,7,34.52,#1DD5EE
Spunky Monkeys,June 2nd 2020,5.06,2036,6/2/2020 16:24,2036,2011.857708,17,56.32,#00A86B
Twelve Kitties,June 2nd 2020,5.02,1420,6/2/2020 16:44,1420,1414.342629,37,11.95,#CCCCFF
International Super Spreaders,June 2nd 2020,5.14,2489,6/2/2020 16:59,2489,2421.206226,18,19.46,#FFD700
Twelve Kitties,June 2nd 2020,5.03,1578,6/2/2020 17:19,1578,1568.588469,38,18.89,#CCCCFF
RIOT Runners,June 2nd 2020,5.07,1764,6/2/2020 17:19,1764,1739.64497,10,26.63,#FFA500
Spunky Monkeys,June 2nd 2020,5.01,1379,6/2/2020 17:25,1379,1376.247505,18,21.06,#00A86B
Poko Fish,June 2nd 2020,5.03,2139,6/2/2020 17:25,2139,2126.242545,4,84.59,#9966CC
Footpussys,June 2nd 2020,5.02,1436,6/2/2020 17:39,1436,1430.278884,6,8.96,Orange
Canberra Kitties,June 2nd 2020,5.09,1603,6/2/2020 17:39,1603,1574.656189,6,29.27,Red
Spunky Monkeys,June 2nd 2020,5.03,1378,6/2/2020 17:55,1378,1369.781312,19,46.72,#00A86B
Unicorns on the Run!,June 2nd 2020,5,57600,6/2/2020 18:01,57600,57600,5,0.00,White
WhorunstheworldGIRLS,June 2nd 2020,5.04,3903,6/2/2020 18:01,3903,3872.02381,8,24.80,#1DD5EE
Twelve Kitties,June 2nd 2020,5.02,1057,6/2/2020 18:10,1057,1052.788845,39,9.96,#CCCCFF
Spunky Monkeys,June 2nd 2020,5.04,1439,6/2/2020 18:25,1439,1427.579365,20,1.98,#00A86B
RIOT Runners,June 2nd 2020,5.02,3358,6/2/2020 18:31,3358,3344.621514,11,36.85,#FFA500
Twelve Kitties,June 2nd 2020,5.02,1776,6/2/2020 18:55,1776,1768.924303,40,67.73,#CCCCFF
International Super Spreaders,June 2nd 2020,5.17,1736,6/2/2020 18:50,1736,1678.916828,19,67.70,#FFD700
Unicorns on the Run!,June 2nd 2020,5.01,2246,6/2/2020 19:14,2246,2241.516966,6,92.81,White
Spunky Monkeys,June 2nd 2020,5.16,2081,6/2/2020 19:25,2081,2016.472868,21,23.26,#00A86B
International Super Spreaders,June 2nd 2020,5.03,1766,6/2/2020 19:30,1766,1755.467197,20,73.06,#FFD700
Spunky Monkeys,June 2nd 2020,5.04,1440,6/2/2020 19:56,1440,1428.571429,22,9.92,#00A86B
Unicorns on the Run!,June 2nd 2020,5.02,1836,6/2/2020 20:10,1836,1828.685259,7,306.77,White
International Super Spreaders,June 2nd 2020,5.39,2241,6/2/2020 20:15,2241,2078.849722,21,76.44,#FFD700
Spunky Monkeys,June 2nd 2020,5.27,1440,6/2/2020 20:25,1440,1366.223909,23,5.31,#00A86B
Spunky Monkeys,June 2nd 2020,5.09,1412,6/2/2020 20:58,1412,1387.033399,24,8.55,#00A86B
Spunky Monkeys,June 2nd 2020,5.02,2155,6/2/2020 21:44,2155,2146.414343,25,40.84,#00A86B
International Super Spreaders,June 2nd 2020,5.15,2220,6/2/2020 22:24,2220,2155.339806,22,0.00,#FFD700
International Super Spreaders,June 2nd 2020,5.03,1459,6/2/2020 22:59,1459,1450.298211,23,12.92,#FFD700
International Super Spreaders,June 2nd 2020,5.14,1727,6/2/2020 23:34,1727,1679.961089,24,68.09,#FFD700
Spunky Monkeys,June 2nd 2020,5.01,1454,6/3/2020 5:25,1454,1451.097804,26,54.19,#00A86B
International Super Spreaders,June 2nd 2020,5.02,1976,6/3/2020 5:45,1976,1968.12749,25,19.92,#FFD700
Asante Sana Squash Banana,June 2nd 2020,5.03,1948,6/3/2020 5:54,1948,1936.38171,6,7.95,#E52B50
WhorunstheworldGIRLS,June 2nd 2020,5.04,1746,6/3/2020 6:04,1746,1732.142857,9,13.89,#1DD5EE
RIOT Runners,June 2nd 2020,5.24,2262,6/3/2020 6:20,2262,2158.396947,12,7.63,#FFA500
International Super Spreaders,June 2nd 2020,5.46,2005,6/3/2020 6:29,2005,1836.080586,26,88.83,#FFD700
WhorunstheworldGIRLS,June 2nd 2020,5.01,1454,6/3/2020 6:34,1454,1451.097804,10,33.93,#1DD5EE
Twelve Kitties,June 2nd 2020,5.02,1923,6/3/2020 6:39,1923,1915.338645,41,199.20,#CCCCFF
Spunky Monkeys,June 2nd 2020,5.02,1805,6/3/2020 6:54,1805,1797.808765,27,46.81,#00A86B
International Super Spreaders,June 2nd 2020,5.01,1420,6/3/2020 7:08,1420,1417.165669,27,23.85,#FFD700
Poko Fish,June 2nd 2020,5.06,2076,6/3/2020 7:08,2076,2051.383399,5,87.06,#9966CC
The Sensei Garys,June 2nd 2020,5,1680,6/3/2020 7:14,1680,1680,2,0.00,#F88379
RIOT Runners,June 2nd 2020,5.03,1955,6/3/2020 7:14,1955,1943.33996,13,44.73,#FFA500
