team,distance,duration,timestamp,seconds_moving,5km_time,leg_number_for_team,Elevation,Penalty,
MMI Adventure Racing,5017.8,35928:00:00,4/5/2020 10:14,1497,1491.689585,21,,,
WhorunstheworldGIRLS,5017.8,94656:00:00,4/5/2020 10:19,3944,4015.704093,14,,,
The Sensei Garys,5029.2,42072:00:00,4/5/2020 10:46,1753,1791.537421,13,,,
MMI Adventure Racing,5379.5,54624:00:00,4/5/2020 13:36,2276,2144.251324,22,,,
Coodows,5030.8,30648:00:00,4/5/2020 13:40,1277,1269.18184,15,,,
Poko Fish,5134.8,89376:00:00,4/5/2020 14:17,3724,3626,11,,,
Footpussys,5104,33888:00:00,4/5/2020 16:35,1412,1383.22884,15,,,
The Sensei Garys,5003.8,55464:00:00,4/5/2020 16:45,2311,2372.19713,14,,,
The Sensei Garys,5006.8,1797,4/5/2020 17:18,1797,1800.55125,15,,,
Poko Fish,5049.4,1639,4/5/2020 17:18,1639,2750.82188,12,,,
MMI Adventure Racing,5121.5,1591,4/5/2020 17:48,1591,1574.733965,23,,,
Poko Fish,5035.8,1690,4/5/2020 17:58,1690,1680.964296,13,,,
WhorunstheworldGIRLS,8563.1,3794,4/5/2020 18:03,3794,2281.883897,15,,,
Straight Outta Stompton,10128.6,2528,4/5/2020 18:03,2528,1247.951346,15,,,
Asante sana squash banana,5008.9,1704,4/5/2020 18:18,1704,1729.920741,18,,,
MMI Adventure Racing,6023,2118,4/5/2020 18:32,2118,1791.466047,24,,,
The Sensei Garys,5023.9,1999,4/5/2020 18:37,1999,2277.115388,16,,,
WhorunstheworldGIRLS,5100.2,2078,4/5/2020 18:52,2078,2037.175013,16,,,
Asante sana squash banana,5023.6,2001,4/5/2020 18:56,2001,2026.435226,19,,,
Footpussys,5071.2,3065,4/5/2020 18:56,3065,3159.015618,16,,,
Asante sana squash banana,5015.2,1698,4/5/2020 19:33,1698,1696.841602,20,,,
The Phoebe Buffay Running Club,5001.5,1476,4/5/2020 19:52,1476,1475.557333,12,,,
Coodows,5006,1539,4/5/2020 20:24,1539,1537.155414,16,,,
Coodows,5111.8,1261,4/5/2020 21:40,1261,1237.333229,17,,,
Footpussys,5449,1661,5/5/2020 6:03,1661,1531.473665,17,,,
MMI Adventure Racing,5090.9,1731,5/5/2020 6:29,1731,1765.896011,25,,,
The Phoebe Buffay Running Club,5117.9,1715,5/5/2020 6:38,1715,1675.491901,12,,,
Footpussys,5203.5,1678,5/5/2020 6:43,1678,1612.376285,18,,,
Coodows,5008.9,1423,5/5/2020 6:53,1423,1428.457346,18,,,
The Sensei Garys,5023.1,1661,5/5/2020 6:53,1661,1668.292489,17,,,
Straight Outta Stompton,5007.7,1562,5/5/2020 6:58,1562,1559.598219,16,,,
MMI Adventure Racing,5013.4,1475,5/5/2020 7:03,1475,1471.057566,26,,,
Asante sana squash banana,5051.1,1429,5/5/2020 7:03,1429,1414.543367,21,,,
WhorunstheworldGIRLS,6003.5,2014,5/5/2020 7:13,2014,1738.152744,17,,,
The Sensei Garys,5013.5,2338,5/5/2020 7:46,2338,2456.367807,18,,,
MMI Adventure Racing,11005.7,5413,5/5/2020 8:12,5413,2595.927565,27,,,
Straight Outta Stompton,8150.1,2900,5/5/2020 8:21,2900,1863.780813,17,,,
The Sensei Garys,5048.1,1711,5/5/2020 8:26,1711,1747.192013,19,,,
Coodows,5017.1,1301,5/5/2020 13:41,1301,1296.565745,19,,,
The Phoebe Buffay Running Club,5076,1308,5/5/2020 15:44,1308,1303.191489,13,,,
The Sensei Garys,5022.8,1645,5/5/2020 15:44,1645,1668.392132,20,,,
Asante sana squash banana,5020,2060,5/5/2020 16:34,2060,2051.792829,22,,,
The Sensei Garys,6508,3807,5/5/2020 17:01,3807,2936.385986,21,,,
WhorunstheworldGIRLS,5033.2,3796,5/5/2020 17:28,3796,3879.241834,18,,,
Straight Outta Stompton,6006.6,1592,5/5/2020 17:37,1592,1325.208937,18,,,
